NomDep;NomLoc;zip2010;zip2022
SAN MARTIN;LAS BANDURRIAS;lasbandurriasa3h;LASBANDURRIAS
GENERAL OBLIGADO;LAS GARZAS;lasgarzasa3v;LASGARZAS
GENERAL OBLIGADO;LAS PALMAS;LASPALMAS;LASPALMAS
SAN CRISTOBAL;LAS PALMERAS;laspalmerasa3v;LASPALMERAS
BELGRANO;LAS PAREJAS;lasparejasa2v;LASPAREJAS
SAN MARTIN;LAS PETACAS;Laspetacasa3v;LASPETACAS
BELGRANO;LAS ROSAS;lasrosasa1v;LASROSAS
GENERAL OBLIGADO;LAS TOSCAS;lastoscasa2v;LASTOSCAS
LAS COLONIAS;LAS TUNAS;lastunasa3h;LASTUNAS
GENERAL LOPEZ;LAZZARINO;lazzarinoa3h;LAZZARINO
CASTELLANOS;LEHMANN;lehmanna3h;LEHMANN
LA CAPITAL;LLAMBI CAMPBELL;llambicampbella2h;LLAMBICAMPBELL
9 DE JULIO;LOGROÑO;logronoa3h;LOGRONO
SAN JERONIMO;LOMA ALTA;lomaaltaa3h;LOMAALTA
SAN JERONIMO;LOPEZ;lopeza3h;LOPEZ
VERA;LOS AMORES;losamoresa3v;LOSAMORES
SAN MARTIN;LOS CARDOS;Loscardosa3h;LOSCARDOS
GENERAL OBLIGADO;LOS LAURELES;loslaurelesa3v;LOSLAURELES
CASEROS;LOS MOLINOS;losmolinosa3h;LOSMOLINOS
ROSARIO;LOS MUCHACHOS - LA ALBORADA;osmuchachoslaalboradaa3h;LOSMUCHACHOSLAALBORADA
CASEROS;LOS NOGALES;losnogalesa3h;LOSNOGALES
CASEROS;LOS QUIRQUINCHOS;LosQuirquinchosa3h;LOSQUIRQUINCHOS
CASTELLANOS;LOS SEMBRADOS;LOSSEMBRADOS;LOSSEMBRADOS
VERA;LOS TABANOS;LOSTABANOS;LOSTABANOS
GARAY;LOS ZAPALLOS;loszapallosa2h;LOSZAPALLOS
IRIONDO;LUCIO V LOPEZ;luciovlopeza3h;LUCIOVLOPEZ
SAN LORENZO;LUIS PALACIOS;Luispalaciosa2v;LUISPALACIOS
SAN JERONIMO;MACIEL;maciela3v;MACIEL
GENERAL LOPEZ;MAGGIOLO;maggioloa3h;MAGGIOLO
GENERAL OBLIGADO;MALABRIGO;malabrigoa3h;MALABRIGO
LA CAPITAL;MANUCHO;MANUCHO;MANUCHO
SAN JUSTO;MARCELINO ESCALADA;marcelinoescaladaa3h;MARCELINOESCALADA
VERA;MARGARITA;margaritaa3v;MARGARITA
CASTELLANOS;MARIA JUANA;mariajuanaa2h;MARIAJUANA
LAS COLONIAS;MARIA LUISA;MariaLuisaa3h1;MARIALUISA
SAN MARTIN;MARIA SUSANA;mariasusanaa2v;MARIASUSANA
GENERAL LOPEZ;MARIA TERESA;mariateresaa2h;MARIATERESA
LAS COLONIAS;MATILDE;matildea3v;MATILDE
CONSTITUCION;MAXIMO PAZ;MaximoPaza3v;MAXIMOPAZ
GENERAL LOPEZ;MELINCUE;melincuea1h;MELINCUE
GENERAL LOPEZ;MIGUEL TORRES;migueltorresa3h;MIGUELTORRES
SAN CRISTOBAL;MOISES VILLE;moisesvillea2h;MOISESVILLE
SAN CRISTOBAL;MONIGOTES;monigotesa3v;MONIGOTES
SAN JERONIMO;MONJE;monjea3v;MONJE
ROSARIO;MONTE FLORES;montefloresa3h;MONTEFLORES
LA CAPITAL;MONTE VERA;MONTEVERA;MONTEVERA
9 DE JULIO;MONTEFIORE;montefiorea3v;MONTEFIORE
BELGRANO;MONTES DE OCA;montesdeocaa3h;MONTESDEOCA
GENERAL OBLIGADO;MOUSSY;MOUSSY;MOUSSY
GENERAL LOPEZ;MURPHY;murphya3h;MURPHY
SAN JUSTO;NARE;narea3v;NARE
LA CAPITAL;NELSON;nelsona2v;NELSON
GENERAL OBLIGADO;NICANOR MOLINAS;;NICANORMOLINAS
CASTELLANOS;NUEVA LEHMANN;nuevalehmanna3h;NUEVALEHMANN
LAS COLONIAS;NUEVO TORINO;nuevotorinoa3h;NUEVOTORINO
